state,district,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested
AN,North and Middle Andaman,,8,,,,
AN,South Andaman,3,28,,,,
AP,Anantapur,4575,5370,4,5,,
AP,Chittoor,878,1306,64,87,1,
AP,East Godavari,41,237,87,121,,
AP,Guntur,1119,1248,33,198,,
AP,Krishna,51,337,46,71,1,
AP,Kurnool,4716,1538,6,3,,
AP,Prakasam,3292,5872,6,37,,
AP,S.P.S. Nellore,2724,1639,34,23,1,
AP,Srikakulam,2,6,19,20,,
AP,Visakhapatnam,1309,2311,27,30,,
AP,Vizianagaram,601,1855,7,11,1,
AP,West Godavari,878,1884,40,44,,
AP,Y.S.R. Kadapa,1005,1101,12,25,,
AR,Changlang,,,,1,,
AR,East Kameng,,1,,,,
AR,East Siang,,,,5,,
AR,Lepa Rada,6,54,,,,
AR,Lower Dibang Valley,19,1,,,,
AR,Lower Subansiri,2,36,,,,
AR,Pakke Kessang,,14,,,,
AR,Papum Pare,,,1,1,,
AR,West Kameng,15,89,,7,,
AR,West Siang,,,,-5,,
AS,Baksa,39,172,,,,
AS,Barpeta,369,1035,,,,
AS,Biswanath,507,1655,,,,
AS,Bongaigaon,85,1287,,,,
AS,Cachar,2149,966,,,,
AS,Charaideo,3,26,,,,
AS,Chirang,22,89,,,,
AS,Darrang,365,270,,,,
AS,Dhemaji,55,47,,,,
AS,Dhubri,1042,1906,,,,
AS,Dibrugarh,699,4007,,,,
AS,Dima Hasao,160,59,,,,
AS,Goalpara,47,81,,,,
AS,Golaghat,504,2676,,,,
AS,Hailakandi,88,705,,,,
AS,Hojai,512,2979,,,,
AS,Jorhat,225,2154,,,,
AS,Kamrup,231,253,,,,
AS,Kamrup Metropolitan,359,1713,,,,
AS,Karbi Anglong,342,280,,,,
AS,Karimganj,331,1382,,,,
AS,Kokrajhar,162,823,,,,
AS,Lakhimpur,148,1555,,,,
AS,Majuli,36,166,,,,
AS,Morigaon,264,482,,,,
AS,Nagaon,758,1481,,,,
AS,Nalbari,388,1492,,,,
AS,Sivasagar,46,714,,,,
AS,Sonitpur,448,2664,,,,
AS,South Salmara Mankachar,260,1288,,,,
AS,Tinsukia,6637,1679,,,,
AS,Udalguri,1935,1396,,,,
AS,Unknown,,,212,236,1,
AS,West Karbi Anglong,312,147,,,,
BR,Araria,5177,3067,,,,
BR,Arwal,262,1360,,,,
BR,Aurangabad,1264,2657,,,,
BR,Banka,2635,3138,,,,
BR,Begusarai,1906,2774,,1,,
BR,Bhagalpur,2122,3458,,1,,
BR,Bhojpur,3232,4879,,,,
BR,Buxar,1083,2516,,,,
BR,Darbhanga,2858,5306,,,,
BR,East Champaran,2434,8014,,,,
BR,Gaya,1708,1689,,,,
BR,Gopalganj,5308,8468,,,,
BR,Jamui,1435,1416,,,,
BR,Jehanabad,498,1617,,,,
BR,Kaimur,1067,2183,,,,
BR,Katihar,2680,2966,,,,
BR,Khagaria,881,2118,,,,
BR,Kishanganj,1997,1445,3,1,,
BR,Lakhisarai,595,1005,,,,
BR,Madhepura,2700,4459,,,,
BR,Madhubani,2735,6686,2,,,
BR,Munger,851,2867,,,,
BR,Muzaffarpur,3545,7023,,,,
BR,Nalanda,2168,1826,,,,
BR,Nawada,4176,4338,,,,
BR,Patna,737,2024,2,3,,
BR,Purnia,2821,1959,,,,
BR,Rohtas,4911,4149,,,,
BR,Saharsa,28493,18126,,,,
BR,Samastipur,3216,5157,1,1,,
BR,Saran,4149,6693,,2,,
BR,Sheikhpura,345,788,,,,
BR,Sheohar,666,1629,,,,
BR,Sitamarhi,3873,5476,,,,
BR,Siwan,1163,4030,,,,
BR,Supaul,3029,5131,,,,
BR,Vaishali,1522,2621,,,,
BR,West Champaran,7525,6316,,,,
CH,Chandigarh,211,1282,5,3,,1403
CT,Balod,523,762,,,,
CT,Baloda Bazar,953,605,,1,,
CT,Balrampur,1654,725,,,,
CT,Bametara,25,25,1,,,
CT,Bastar,82,129,2,2,,
CT,Bijapur,47,56,3,1,,
CT,Bilaspur,2404,9113,1,3,,
CT,Dakshin Bastar Dantewada,143,1299,1,,,
CT,Dhamtari,1,18,,2,,
CT,Durg,468,908,4,6,,
CT,Gariaband,440,153,,,,
CT,Gaurela Pendra Marwahi,257,297,1,,,
CT,Janjgir Champa,1722,1341,2,4,,
CT,Jashpur,187,383,,3,,
CT,Kabeerdham,1128,1288,,,,
