state,district,vaccinated1,vaccinated2,confirmed,recovered,deceased,tested,other
AN,Nicobars,62.0,811.0,,,,,
AN,North and Middle Andaman,90.0,1839.0,,,,,
AN,South Andaman,732.0,8012.0,,,,,
AN,Unknown,,,3.0,5.0,,,
AP,Anantapur,92803.0,140903.0,38.0,58.0,,,
AP,Chittoor,63824.0,119541.0,516.0,629.0,6.0,,
AP,East Godavari,36973.0,223236.0,604.0,520.0,,,
AP,Guntur,285377.0,156818.0,272.0,619.0,4.0,,
AP,Krishna,75352.0,230788.0,422.0,467.0,9.0,,
AP,Kurnool,178620.0,73119.0,25.0,26.0,,,
AP,Prakasam,137338.0,130213.0,103.0,290.0,3.0,,
AP,S.P.S. Nellore,96973.0,114393.0,155.0,235.0,2.0,,
AP,Srikakulam,18883.0,129575.0,132.0,72.0,,,
AP,Visakhapatnam,65301.0,207340.0,237.0,227.0,1.0,,
AP,Vizianagaram,44847.0,123576.0,53.0,38.0,1.0,,
AP,West Godavari,61021.0,146562.0,234.0,246.0,4.0,,
AP,Y.S.R. Kadapa,65843.0,90958.0,82.0,163.0,,,
AR,Anjaw,45.0,452.0,,,,,
AR,Changlang,298.0,3803.0,3.0,3.0,,,
AR,East Kameng,76.0,409.0,,,,,
AR,East Siang,365.0,2013.0,9.0,10.0,,,
AR,Kamle,36.0,185.0,,,,,
AR,Kra Daadi,5.0,23.0,,,,,
AR,Kurung Kumey,27.0,255.0,,,,,
AR,Lepa Rada,40.0,307.0,,1.0,,,
AR,Lohit,221.0,1494.0,9.0,3.0,,,
AR,Longding,46.0,356.0,1.0,,,,
AR,Lower Dibang Valley,171.0,931.0,14.0,3.0,,,
AR,Lower Siang,37.0,317.0,,,,,
AR,Lower Subansiri,85.0,767.0,5.0,2.0,,,
AR,Namsai,209.0,2436.0,4.0,16.0,,,
AR,Pakke Kessang,25.0,262.0,,,,,
AR,Papum Pare,1055.0,3799.0,7.0,12.0,,,
AR,Shi Yomi,2.0,153.0,1.0,10.0,,,
AR,Siang,40.0,197.0,,,,,
AR,Tawang,91.0,759.0,12.0,8.0,,,
AR,Tirap,35.0,631.0,,2.0,,,
AR,Upper Dibang Valley,3.0,11.0,,1.0,,,
AR,Upper Siang,38.0,411.0,,2.0,,,
AR,Upper Subansiri,93.0,1122.0,,,,,
AR,West Kameng,206.0,1914.0,1.0,21.0,,,
AR,West Siang,63.0,640.0,,3.0,,,
AS,Baksa,2992.0,15169.0,,,,,
AS,Barpeta,10495.0,48544.0,,,,,
AS,Biswanath,5661.0,35727.0,,,,,
AS,Bongaigaon,2784.0,18356.0,,,,,
AS,Cachar,26826.0,21591.0,,,,,
AS,Charaideo,1853.0,16868.0,,,,,
AS,Chirang,2488.0,9573.0,,,,,
AS,Darrang,17453.0,21800.0,,,,,
AS,Dhemaji,3423.0,15318.0,,,,,
AS,Dhubri,12450.0,25644.0,,,,,
AS,Dibrugarh,8869.0,38695.0,,,,,
AS,Dima Hasao,2532.0,3737.0,,,,,
AS,Goalpara,4013.0,30725.0,,,,,
AS,Golaghat,6525.0,51417.0,,,,,
AS,Hailakandi,1724.0,11247.0,,,,,
AS,Hojai,6217.0,36724.0,,,,,
AS,Jorhat,3383.0,39677.0,,,,,
AS,Kamrup,10451.0,45828.0,,,,,
AS,Kamrup Metropolitan,6625.0,38155.0,,,,,
AS,Karbi Anglong,13744.0,12778.0,,,,,
AS,Karimganj,5088.0,20659.0,,,,,
AS,Kokrajhar,3935.0,19711.0,,,,,
AS,Lakhimpur,5870.0,42164.0,,,,,
AS,Majuli,1524.0,7176.0,,,,,
AS,Morigaon,5298.0,27861.0,,,,,
AS,Nagaon,16396.0,36734.0,,,,,
AS,Nalbari,6785.0,25411.0,,,,,
AS,Sivasagar,1946.0,23104.0,,,,,
AS,Sonitpur,8341.0,48290.0,,,,,
AS,South Salmara Mankachar,1978.0,15304.0,,,,,
AS,Tinsukia,45002.0,22410.0,,,,,
AS,Udalguri,17371.0,19343.0,,,,,
AS,Unknown,,,2056.0,2215.0,24.0,,
AS,West Karbi Anglong,4593.0,4186.0,,,,,
BR,Araria,51331.0,69085.0,2.0,,,,
BR,Arwal,4059.0,17125.0,,,,,
BR,Aurangabad,25561.0,56431.0,,,,,
BR,Banka,24239.0,34077.0,,,,,
BR,Begusarai,33903.0,65735.0,2.0,7.0,,,
BR,Bhagalpur,49875.0,78088.0,1.0,1.0,,,
BR,Bhojpur,31626.0,53006.0,,,,,
BR,Buxar,14794.0,38792.0,,,,,
BR,Darbhanga,39165.0,82276.0,,1.0,,,
BR,East Champaran,29316.0,84760.0,2.0,,,,
BR,Gaya,72504.0,82490.0,,1.0,,,
BR,Gopalganj,31750.0,70093.0,,1.0,,,
BR,Jamui,24440.0,24005.0,,1.0,,,
BR,Jehanabad,12986.0,27200.0,,,,,
BR,Kaimur,19996.0,28681.0,,,,,
BR,Katihar,53448.0,75733.0,,1.0,,,
BR,Khagaria,15402.0,32372.0,,,,,
BR,Kishanganj,24597.0,25592.0,4.0,2.0,,,
BR,Lakhisarai,8894.0,16437.0,,,,,
BR,Madhepura,28832.0,43563.0,1.0,,,,
BR,Madhubani,28535.0,69785.0,3.0,,,,
BR,Munger,7445.0,33005.0,,1.0,,,
BR,Muzaffarpur,40686.0,80513.0,,1.0,,,
BR,Nalanda,36716.0,66091.0,,,,,
