state,district,population
AN,Nicobars,36842.0
AN,North and Middle Andaman,105597.0
AN,South Andaman,238142.0
AP,Anantapur,4083315.0
AP,Chittoor,4170468.0
AP,East Godavari,5151549.0
AP,Guntur,4889230.0
AP,Krishna,4529009.0
AP,Kurnool,4046601.0
AP,Prakasam,3392764.0
AP,S.P.S. Nellore,2966082.0
AP,Srikakulam,2699471.0
AP,Visakhapatnam,4288113.0
AP,Vizianagaram,2342868.0
AP,West Godavari,3934782.0
AP,Y.S.R. Kadapa,2884524.0
AR,Anjaw,21089.0
AR,Capital Complex,
AR,Changlang,147951.0
AR,East Kameng,78413.0
AR,East Siang,99019.0
AR,Kamle,22256.0
AR,Kra Daadi,
AR,Kurung Kumey,89717.0
AR,Lepa Rada,
AR,Lohit,145538.0
AR,Longding,60000.0
AR,Lower Dibang Valley,53986.0
AR,Lower Siang,80597.0
AR,Lower Subansiri,82839.0
AR,Namsai,95950.0
AR,Pakke Kessang,
AR,Papum Pare,176385.0
AR,Shi Yomi,13310.0
AR,Siang,31920.0
AR,Tawang,49950.0
AR,Tirap,111997.0
AR,Upper Dibang Valley,7948.0
AR,Upper Siang,35289.0
AR,Upper Subansiri,83205.0
AR,West Kameng,87013.0
AR,West Siang,112272.0
AS,Baksa,953773.0
AS,Barpeta,1693190.0
AS,Biswanath,612491.0
AS,Bongaigaon,732639.0
AS,Cachar,1736319.0
AS,Chirang,481818.0
AS,Darrang,908090.0
AS,Dhemaji,688077.0
AS,Dhubri,1948632.0
AS,Dibrugarh,1327748.0
AS,Dima Hasao,213529.0
AS,Goalpara,1008959.0
AS,Golaghat,1058674.0
AS,Hailakandi,659260.0
AS,Hojai,931218.0
AS,Jorhat,1091295.0
AS,Kamrup,1517202.0
AS,Kamrup Metropolitan,1260419.0
AS,Karbi Anglong,965280.0
AS,Karimganj,1217002.0
AS,Kokrajhar,886999.0
AS,Lakhimpur,1040644.0
AS,Majuli,167304.0
AS,Morigaon,957853.0
AS,Nagaon,2826006.0
AS,Nalbari,769919.0
AS,Sivasagar,1150253.0
AS,Sonitpur,1925975.0
AS,South Salmara Mankachar,555114.0
AS,Tinsukia,1316948.0
AS,Udalguri,832769.0
AS,West Karbi Anglong,300320.0
BR,Araria,2806200.0
BR,Arwal,700843.0
BR,Aurangabad,2511243.0
BR,Banka,2029339.0
BR,Begusarai,2954367.0
BR,Bhagalpur,3032226.0
BR,Bhojpur,2720155.0
BR,Buxar,1707643.0
BR,Darbhanga,3921971.0
BR,East Champaran,5082868.0
BR,Gaya,4379383.0
BR,Gopalganj,2558037.0
BR,Jamui,1756078.0
BR,Jehanabad,1124176.0
BR,Kaimur,1626900.0
BR,Katihar,3068149.0
BR,Khagaria,1657599.0
BR,Kishanganj,1690948.0
BR,Lakhisarai,1000717.0
BR,Madhepura,1994618.0
BR,Madhubani,4476044.0
BR,Munger,1359054.0
BR,Muzaffarpur,4778610.0
BR,Nalanda,2872523.0
BR,Nawada,2216653.0
BR,Patna,5772804.0
BR,Purnia,3273127.0
BR,Rohtas,2962593.0
BR,Saharsa,1897102.0
BR,Samastipur,4254782.0
BR,Saran,3943098.0
BR,Sheikhpura,634927.0
BR,Sheohar,656916.0
BR,Sitamarhi,3419622.0
BR,Siwan,3318176.0
BR,Supaul,2228397.0
BR,Vaishali,3495021.0
BR,West Champaran,3935042.0
CH,Chandigarh,1055450.0
CT,Balod,826165.0
CT,Baloda Bazar,1305343.0
CT,Balrampur,598855.0
CT,Bametara,197035.0
CT,Bastar,1302253.0
CT,Bijapur,229832.0
CT,Bilaspur,1961922.0
CT,Dakshin Bastar Dantewada,533638.0
CT,Dhamtari,799199.0
CT,Durg,3343079.0
CT,Gariaband,597653.0
CT,Gaurela Pendra Marwahi,
CT,Janjgir Champa,1620632.0
CT,Jashpur,852043.0
CT,Kabeerdham,584667.0
CT,Kondagaon,578326.0
CT,Korba,1206563.0
CT,Koriya,659039.0
CT,Mahasamund,1032275.0
CT,Mungeli,701707.0
CT,Narayanpur,140206.0
CT,Raigarh,1493627.0
CT,Raipur,4062160.0
CT,Rajnandgaon,1537520.0
CT,Sukma,249000.0
CT,Surajpur,660280.0
CT,Surguja,420661.0
CT,Uttar Bastar Kanker,748593.0
DL,Delhi,19814000.0
DN,Dadra and Nagar Haveli,343709.0
DN,Daman,191173.0
DN,Diu,52074.0
GA,North Goa,817761.0
GA,South Goa,639962.0
GJ,Ahmedabad,7208200.0
GJ,Amreli,1513614.0
GJ,Anand,2090276.0
GJ,Aravalli,1051746.0
GJ,Banaskantha,3116045.0
GJ,Bharuch,1550822.0
GJ,Bhavnagar,2877961.0
GJ,Botad,656005.0
GJ,Chhota Udaipur,1071831.0
GJ,Dahod,2126558.0
GJ,Dang,226769.0
GJ,Devbhumi Dwarka,752484.0
GJ,Gandhinagar,1387478.0
GJ,Gir Somnath,1217477.0
GJ,Jamnagar,2159130.0
GJ,Junagadh,2742291.0
GJ,Kheda,2298934.0
GJ,Kutch,2090313.0
GJ,Mahisagar,994624.0
GJ,Mehsana,2027727.0
GJ,Morbi,960329.0
GJ,Narmada,590379.0
GJ,Navsari,1330711.0
GJ,Other State,
GJ,Panchmahal,2388267.0
GJ,Patan,1342746.0
GJ,Porbandar,586062.0
GJ,Rajkot,3157676.0
GJ,Sabarkantha,2427346.0
GJ,Surat,4996391.0
GJ,Surendranagar,1755873.0
GJ,Tapi,806489.0
GJ,Vadodara,3639775.0
GJ,Valsad,1703068.0
HP,Bilaspur,382056.0
HP,Chamba,518844.0
HP,Hamirpur,454293.0
HP,Kangra,1507223.0
HP,Kinnaur,84298.0
HP,Kullu,437474.0
HP,Lahaul and Spiti,31528.0
HP,Mandi,999518.0
HP,Shimla,813384.0
HP,Sirmaur,530164.0
HP,Solan,576670.0
HP,Una,521057.0
HR,Ambala,1136784.0
HR,Bhiwani,1629109.0
HR,Charkhi Dadri,502276.0
HR,Faridabad,1798954.0
HR,Fatehabad,941522.0
HR,Gurugram,1514085.0
HR,Hisar,1742815.0
HR,Jhajjar,956907.0
HR,Jind,1332042.0
HR,Kaithal,1072861.0
HR,Karnal,1506323.0
HR,Kurukshetra,964231.0
HR,Mahendragarh,921680.0
HR,Nuh,1089406.0
HR,Palwal,1040493.0
HR,Panchkula,558890.0
HR,Panipat,1202811.0
HR,Rewari,896129.0
HR,Rohtak,1058683.0
HR,Sirsa,1295114.0
HR,Sonipat,1480080.0
HR,Yamunanagar,1214162.0
JH,Bokaro,2061918.0
JH,Chatra,1042304.0
JH,Deoghar,1491879.0
JH,Dhanbad,2682662.0
JH,Dumka,1321096.0
JH,East Singhbhum,2291032.0
JH,Garhwa,1322387.0
JH,Giridih,2445203.0
