vaccinated1,vaccinated2,state,district,confirmed,deceased,recovered,tested,other
25394.0,20313.0,AN,Nicobars,,,,,
78945.0,59522.0,AN,North and Middle Andaman,,,,,
189662.0,120322.0,AN,South Andaman,,,,,
2690082.0,1611476.0,AP,Anantapur,157843.0,1093.0,156699.0,787085.0,
2832987.0,1807873.0,AP,Chittoor,246935.0,1947.0,244144.0,780322.0,
3532220.0,1990578.0,AP,East Godavari,293836.0,1290.0,291610.0,944746.0,
,,AP,Foreign Evacuees,434.0,,434.0,,
3440118.0,1891773.0,AP,Guntur,178068.0,1237.0,176629.0,833823.0,
2971604.0,1914927.0,AP,Krishna,119348.0,1430.0,117130.0,782232.0,
2672759.0,1290419.0,AP,Kurnool,124142.0,853.0,123264.0,867361.0,
,,AP,Other State,2461.0,,2461.0,,
2321031.0,1521177.0,AP,Prakasam,138482.0,1124.0,136989.0,697340.0,
2143402.0,1403240.0,AP,S.P.S. Nellore,146388.0,1053.0,144919.0,682964.0,
1630248.0,974734.0,AP,Srikakulam,123109.0,786.0,122136.0,670899.0,
2999432.0,1864960.0,AP,Visakhapatnam,157737.0,1127.0,156492.0,744983.0,
1393491.0,996097.0,AP,Vizianagaram,82967.0,672.0,82231.0,531433.0,
2525317.0,1778807.0,AP,West Godavari,179077.0,1117.0,177680.0,793098.0,
1824032.0,1328711.0,AP,Y.S.R. Kadapa,115623.0,644.0,114904.0,671761.0,
11695.0,7957.0,AR,Anjaw,1068.0,3.0,1065.0,2845.0,
,,AR,Capital Complex,,,,115210.0,
88857.0,55361.0,AR,Changlang,3807.0,22.0,3780.0,23861.0,
22931.0,15646.0,AR,East Kameng,1094.0,,1094.0,7489.0,
54001.0,39434.0,AR,East Siang,3206.0,17.0,3183.0,21867.0,
6946.0,3874.0,AR,Kamle,512.0,,512.0,1385.0,
6275.0,3272.0,AR,Kra Daadi,270.0,,270.0,3218.0,
9121.0,5601.0,AR,Kurung Kumey,511.0,1.0,510.0,4201.0,
13328.0,10176.0,AR,Lepa Rada,874.0,3.0,871.0,6747.0,
31120.0,22003.0,AR,Lohit,2885.0,26.0,2851.0,14945.0,
19259.0,7826.0,AR,Longding,752.0,2.0,749.0,10342.0,
32639.0,22089.0,AR,Lower Dibang Valley,2426.0,11.0,2397.0,12169.0,
16565.0,9990.0,AR,Lower Siang,738.0,8.0,730.0,7070.0,
26916.0,18827.0,AR,Lower Subansiri,3036.0,15.0,3015.0,10564.0,
63539.0,47104.0,AR,Namsai,2124.0,17.0,2102.0,19987.0,
8004.0,4998.0,AR,Pakke Kessang,453.0,,453.0,3327.0,
141168.0,100258.0,AR,Papum Pare,18316.0,98.0,18212.0,41960.0,
6910.0,5663.0,AR,Shi Yomi,262.0,,261.0,2169.0,
14408.0,9068.0,AR,Siang,411.0,3.0,408.0,4270.0,
29553.0,23287.0,AR,Tawang,2577.0,20.0,2533.0,14224.0,
31565.0,21200.0,AR,Tirap,1109.0,5.0,1102.0,14657.0,
4156.0,2603.0,AR,Upper Dibang Valley,337.0,2.0,335.0,1910.0,
18594.0,13671.0,AR,Upper Siang,1016.0,1.0,1015.0,6564.0,
24842.0,16390.0,AR,Upper Subansiri,1958.0,6.0,1952.0,6217.0,
55710.0,40321.0,AR,West Kameng,3545.0,14.0,3518.0,28155.0,
33773.0,27867.0,AR,West Siang,1868.0,6.0,1856.0,13192.0,
553967.0,136574.0,AS,Baksa,,,,,
1095048.0,448006.0,AS,Barpeta,,,,,
456088.0,213437.0,AS,Biswanath,,,,,
493242.0,183782.0,AS,Bongaigaon,,,,,
1101266.0,402535.0,AS,Cachar,,,,,
309125.0,111219.0,AS,Charaideo,,,,,
288696.0,102397.0,AS,Chirang,,,,,
596783.0,183724.0,AS,Darrang,,,,,
431792.0,184251.0,AS,Dhemaji,,,,,
945264.0,229696.0,AS,Dhubri,,,,,
914640.0,430800.0,AS,Dibrugarh,,,,301657.0,
116318.0,62593.0,AS,Dima Hasao,,,,,
662016.0,195521.0,AS,Goalpara,,,,,
711564.0,306745.0,AS,Golaghat,,,,,
422295.0,146888.0,AS,Hailakandi,,,,,
602504.0,274035.0,AS,Hojai,,,,,
649267.0,297724.0,AS,Jorhat,,,,,
1079092.0,409628.0,AS,Kamrup,,,,,
1246239.0,875897.0,AS,Kamrup Metropolitan,,,,,
284600.0,102798.0,AS,Karbi Anglong,,,,,
681216.0,203575.0,AS,Karimganj,,,,,
538901.0,156488.0,AS,Kokrajhar,,,,,
681386.0,301369.0,AS,Lakhimpur,,,,,
117599.0,82507.0,AS,Majuli,,,,,
592446.0,212146.0,AS,Morigaon,,,,,
1203831.0,448081.0,AS,Nagaon,,,,,
483076.0,168392.0,AS,Nalbari,,,,,
478954.0,223921.0,AS,Sivasagar,,,,,
767841.0,434213.0,AS,Sonitpur,,,,,
239906.0,76599.0,AS,South Salmara Mankachar,,,,,
