dates,confirmed,state,recovered,tested,deceased,vaccinated1,vaccinated2
26-03-2020,1,AN,0,0,0,0,0
27-03-2020,6,AN,0,0,0,0,0
28-03-2020,9,AN,0,0,0,0,0
29-03-2020,9,AN,0,0,0,0,0
30-03-2020,10,AN,0,0,0,0,0
31-03-2020,10,AN,0,0,0,0,0
01-04-2020,10,AN,0,0,0,0,0
02-04-2020,10,AN,0,0,0,0,0
03-04-2020,10,AN,0,0,0,0,0
04-04-2020,10,AN,0,0,0,0,0
05-04-2020,10,AN,0,0,0,0,0
06-04-2020,10,AN,0,0,0,0,0
07-04-2020,10,AN,0,0,0,0,0
08-04-2020,11,AN,0,0,0,0,0
09-04-2020,11,AN,10,0,0,0,0
10-04-2020,11,AN,10,0,0,0,0
11-04-2020,11,AN,10,0,0,0,0
12-04-2020,11,AN,10,0,0,0,0
13-04-2020,11,AN,10,0,0,0,0
14-04-2020,11,AN,10,0,0,0,0
15-04-2020,11,AN,10,0,0,0,0
16-04-2020,11,AN,11,0,0,0,0
17-04-2020,12,AN,11,1403,0,0,0
18-04-2020,14,AN,11,1403,0,0,0
19-04-2020,15,AN,11,1403,0,0,0
20-04-2020,16,AN,11,1403,0,0,0
21-04-2020,17,AN,11,1403,0,0,0
22-04-2020,18,AN,11,1403,0,0,0
23-04-2020,22,AN,11,1403,0,0,0
24-04-2020,29,AN,11,2679,0,0,0
25-04-2020,33,AN,11,2679,0,0,0
26-04-2020,33,AN,11,2679,0,0,0
27-04-2020,33,AN,11,2848,0,0,0
28-04-2020,33,AN,15,2848,0,0,0
29-04-2020,33,AN,15,2848,0,0,0
30-04-2020,33,AN,16,2848,0,0,0
01-05-2020,33,AN,16,3754,0,0,0
02-05-2020,33,AN,26,3754,0,0,0
03-05-2020,33,AN,32,3754,0,0,0
04-05-2020,33,AN,32,3754,0,0,0
05-05-2020,33,AN,32,3754,0,0,0
06-05-2020,33,AN,32,3754,0,0,0
07-05-2020,33,AN,33,3754,0,0,0
08-05-2020,33,AN,33,3754,0,0,0
09-05-2020,33,AN,33,3754,0,0,0
10-05-2020,33,AN,33,3754,0,0,0
11-05-2020,33,AN,33,3754,0,0,0
12-05-2020,33,AN,33,3754,0,0,0
13-05-2020,33,AN,33,3754,0,0,0
14-05-2020,33,AN,33,3754,0,0,0
15-05-2020,33,AN,33,3754,0,0,0
16-05-2020,33,AN,33,6677,0,0,0
17-05-2020,33,AN,33,6677,0,0,0
18-05-2020,33,AN,33,6677,0,0,0
19-05-2020,33,AN,33,6965,0,0,0
20-05-2020,33,AN,33,7082,0,0,0
21-05-2020,33,AN,33,7167,0,0,0
22-05-2020,33,AN,33,7263,0,0,0
23-05-2020,33,AN,33,7327,0,0,0
24-05-2020,33,AN,33,7327,0,0,0
25-05-2020,33,AN,33,7363,0,0,0
26-05-2020,33,AN,33,7448,0,0,0
27-05-2020,33,AN,33,7499,0,0,0
28-05-2020,33,AN,33,7519,0,0,0
29-05-2020,33,AN,33,7567,0,0,0
30-05-2020,33,AN,33,7567,0,0,0
31-05-2020,33,AN,33,7706,0,0,0
01-06-2020,33,AN,33,7805,0,0,0
02-06-2020,33,AN,33,8086,0,0,0
03-06-2020,33,AN,33,8295,0,0,0
04-06-2020,33,AN,33,8413,0,0,0
05-06-2020,33,AN,33,8694,0,0,0
06-06-2020,33,AN,33,9037,0,0,0
07-06-2020,33,AN,33,9242,0,0,0
08-06-2020,33,AN,33,9341,0,0,0
09-06-2020,34,AN,33,9859,0,0,0
10-06-2020,35,AN,33,10010,0,0,0
11-06-2020,38,AN,33,10226,0,0,0
12-06-2020,38,AN,33,10697,0,0,0
13-06-2020,38,AN,33,10955,0,0,0
14-06-2020,40,AN,33,11356,0,0,0
15-06-2020,41,AN,33,11518,0,0,0
16-06-2020,44,AN,33,11809,0,0,0
17-06-2020,44,AN,33,12239,0,0,0
18-06-2020,45,AN,35,12622,0,0,0
19-06-2020,47,AN,35,12930,0,0,0
20-06-2020,47,AN,35,13320,0,0,0
21-06-2020,48,AN,37,13434,0,0,0
22-06-2020,48,AN,37,13511,0,0,0
23-06-2020,50,AN,40,13723,0,0,0
24-06-2020,56,AN,41,13994,0,0,0
25-06-2020,58,AN,41,14277,0,0,0
26-06-2020,72,AN,43,14583,0,0,0
27-06-2020,72,AN,43,14851,0,0,0
28-06-2020,83,AN,45,15094,0,0,0
29-06-2020,90,AN,45,15410,0,0,0
30-06-2020,97,AN,45,15709,0,0,0
01-07-2020,100,AN,50,15982,0,0,0
02-07-2020,109,AN,51,16278,0,0,0
03-07-2020,116,AN,54,16626,0,0,0
04-07-2020,119,AN,66,16832,0,0,0
05-07-2020,125,AN,72,16909,0,0,0
06-07-2020,141,AN,74,17095,0,0,0
07-07-2020,147,AN,74,17381,0,0,0
08-07-2020,149,AN,74,17643,0,0,0
09-07-2020,156,AN,83,17852,0,0,0
10-07-2020,156,AN,92,18046,0,0,0
11-07-2020,156,AN,92,18315,0,0,0
12-07-2020,163,AN,100,18447,0,0,0
13-07-2020,166,AN,109,18609,0,0,0
14-07-2020,171,AN,129,18884,0,0,0
15-07-2020,176,AN,130,19061,0,0,0
16-07-2020,180,AN,133,19227,0,0,0
17-07-2020,184,AN,142,19421,0,0,0
18-07-2020,188,AN,145,19671,0,0,0
19-07-2020,203,AN,145,19904,0,0,0
20-07-2020,207,AN,151,20301,0,0,0
21-07-2020,212,AN,159,20642,0,0,0
22-07-2020,221,AN,163,21043,0,0,0
23-07-2020,240,AN,170,21310,0,0,0
24-07-2020,259,AN,174,21743,0,0,0
25-07-2020,290,AN,176,21965,0,0,0
26-07-2020,318,AN,180,22049,0,0,0
27-07-2020,338,AN,192,22548,1,0,0
28-07-2020,363,AN,196,22925,1,0,0
29-07-2020,428,AN,201,23217,2,0,0
30-07-2020,470,AN,201,23615,3,0,0
31-07-2020,548,AN,214,24038,5,0,0
01-08-2020,636,AN,226,24308,7,0,0
02-08-2020,734,AN,242,24580,8,0,0
03-08-2020,830,AN,263,25034,10,0,0
04-08-2020,928,AN,277,25492,12,0,0
05-08-2020,1027,AN,326,25826,14,0,0
06-08-2020,1123,AN,355,26516,16,0,0
07-08-2020,1222,AN,425,26915,19,0,0
08-08-2020,1351,AN,500,27073,20,0,0
09-08-2020,1490,AN,648,27103,20,0,0
10-08-2020,1625,AN,709,27346,20,0,0
11-08-2020,1764,AN,749,27455,21,0,0
12-08-2020,1900,AN,829,27744,21,0,0
13-08-2020,2037,AN,924,27973,22,0,0
14-08-2020,2186,AN,1032,28129,24,0,0
15-08-2020,2306,AN,1128,28209,24,0,0
16-08-2020,2399,AN,1226,28229,28,0,0
17-08-2020,2445,AN,1325,28672,29,0,0
18-08-2020,2529,AN,1421,28937,30,0,0
19-08-2020,2604,AN,1529,29303,30,0,0
20-08-2020,2680,AN,1638,29487,31,0,0
21-08-2020,2747,AN,1744,29573,32,0,0
22-08-2020,2808,AN,1853,29888,32,0,0
23-08-2020,2860,AN,1963,30278,33,0,0
24-08-2020,2904,AN,2092,30513,35,0,0
25-08-2020,2945,AN,2231,31082,37,0,0
26-08-2020,2985,AN,2309,31646,41,0,0
27-08-2020,3018,AN,2374,31830,42,0,0
28-08-2020,3050,AN,2444,32100,42,0,0
29-08-2020,3081,AN,2519,32407,44,0,0
30-08-2020,3104,AN,2586,32674,45,0,0
31-08-2020,3132,AN,2647,33485,46,0,0
01-09-2020,3160,AN,2714,35104,46,0,0
02-09-2020,3186,AN,2758,36136,47,0,0
03-09-2020,3223,AN,2823,37075,48,0,0
04-09-2020,3257,AN,2863,37825,49,0,0
05-09-2020,3292,AN,2904,38574,50,0,0
06-09-2020,3332,AN,2951,39205,50,0,0
07-09-2020,3359,AN,2997,39995,50,0,0
08-09-2020,3392,AN,3035,41039,50,0,0
09-09-2020,3426,AN,3078,41776,51,0,0
10-09-2020,3465,AN,3121,42792,51,0,0
11-09-2020,3494,AN,3157,43680,51,0,0
12-09-2020,3521,AN,3202,44570,51,0,0
13-09-2020,3546,AN,3243,45279,51,0,0
14-09-2020,3557,AN,3278,45987,52,0,0
15-09-2020,3574,AN,3318,46823,52,0,0
16-09-2020,3593,AN,3345,47794,52,0,0
17-09-2020,3604,AN,3378,48861,52,0,0
18-09-2020,3631,AN,3414,50035,52,0,0
19-09-2020,3644,AN,3436,50681,52,0,0
20-09-2020,3651,AN,3451,51262,52,0,0
21-09-2020,3673,AN,3469,52220,52,0,0
22-09-2020,3691,AN,3479,52845,52,0,0
23-09-2020,3712,AN,3494,53591,52,0,0
24-09-2020,3744,AN,3503,52992,52,0,0
25-09-2020,3759,AN,3528,55169,52,0,0
26-09-2020,3774,AN,3551,56059,52,0,0
27-09-2020,3794,AN,3553,56661,53,0,0
28-09-2020,3803,AN,3582,57343,53,0,0
29-09-2020,3821,AN,3587,58135,53,0,0
30-09-2020,3835,AN,3608,58763,53,0,0
01-10-2020,3848,AN,3623,59676,53,0,0
02-10-2020,3858,AN,3631,60437,53,0,0
03-10-2020,3868,AN,3642,61231,53,0,0
04-10-2020,3884,AN,3649,62103,53,0,0
05-10-2020,3899,AN,3659,63009,54,0,0
06-10-2020,3912,AN,3678,63790,54,0,0
07-10-2020,3935,AN,3696,65111,54,0,0
08-10-2020,3952,AN,3707,66244,55,0,0
09-10-2020,3976,AN,3724,67332,55,0,0
10-10-2020,3992,AN,3744,68464,55,0,0
11-10-2020,4005,AN,3764,69146,55,0,0
12-10-2020,4023,AN,3770,69932,55,0,0
13-10-2020,4036,AN,3782,70780,55,0,0
14-10-2020,4046,AN,3796,71624,55,0,0
15-10-2020,4062,AN,3817,72525,55,0,0
16-10-2020,4072,AN,3831,73363,56,0,0
17-10-2020,4083,AN,3848,74277,56,0,0
18-10-2020,4108,AN,3868,75030,56,0,0
19-10-2020,4126,AN,3892,75977,56,0,0
20-10-2020,4141,AN,3902,77200,56,0,0
21-10-2020,4168,AN,3913,78303,56,0,0
22-10-2020,4184,AN,3937,79301,57,0,0
23-10-2020,4207,AN,3945,80768,58,0,0
24-10-2020,4225,AN,3968,81880,58,0,0
25-10-2020,4245,AN,3983,82626,58,0,0
26-10-2020,4253,AN,3997,83115,58,0,0
27-10-2020,4274,AN,4019,84308,58,0,0
28-10-2020,4289,AN,4039,85378,58,0,0
29-10-2020,4305,AN,4054,86715,59,0,0
30-10-2020,4317,AN,4076,87789,59,0,0
31-10-2020,4332,AN,4100,88453,59,0,0
01-11-2020,4340,AN,4112,89559,60,0,0
02-11-2020,4352,AN,4132,90901,60,0,0
03-11-2020,4372,AN,4153,92249,60,0,0
04-11-2020,4389,AN,4163,93406,60,0,0
05-11-2020,4403,AN,4175,94639,60,0,0
06-11-2020,4420,AN,4194,96214,60,0,0
07-11-2020,4441,AN,4206,97603,60,0,0
08-11-2020,4450,AN,4221,98812,60,0,0
