dates,confirmed,state,recovered,tested,other,deceased,vaccinated1,vaccinated2
2020-03-26,1.0,AN,,,,,,
2020-03-27,6.0,AN,,,,,,
2020-03-28,9.0,AN,,,,,,
2020-03-29,9.0,AN,,,,,,
2020-03-30,10.0,AN,,,,,,
2020-03-31,10.0,AN,,,,,,
2020-04-01,10.0,AN,,,,,,
2020-04-02,10.0,AN,,,,,,
2020-04-03,10.0,AN,,,,,,
2020-04-04,10.0,AN,,,,,,
2020-04-05,10.0,AN,,,,,,
2020-04-06,10.0,AN,,,,,,
2020-04-07,10.0,AN,,,,,,
2020-04-08,11.0,AN,,,,,,
2020-04-09,11.0,AN,10.0,,,,,
2020-04-10,11.0,AN,10.0,,,,,
2020-04-11,11.0,AN,10.0,,,,,
2020-04-12,11.0,AN,10.0,,,,,
2020-04-13,11.0,AN,10.0,,,,,
2020-04-14,11.0,AN,10.0,,,,,
2020-04-15,11.0,AN,10.0,,,,,
2020-04-16,11.0,AN,11.0,,,,,
2020-04-17,12.0,AN,11.0,1403.0,,,,
2020-04-18,14.0,AN,11.0,1403.0,,,,
2020-04-19,15.0,AN,11.0,1403.0,,,,
2020-04-20,16.0,AN,11.0,1403.0,,,,
2020-04-21,17.0,AN,11.0,1403.0,,,,
2020-04-22,18.0,AN,11.0,1403.0,,,,
2020-04-23,22.0,AN,11.0,1403.0,,,,
2020-04-24,29.0,AN,11.0,2679.0,,,,
2020-04-25,33.0,AN,11.0,2679.0,,,,
2020-04-26,33.0,AN,11.0,2679.0,,,,
2020-04-27,33.0,AN,11.0,2848.0,,,,
2020-04-28,33.0,AN,15.0,2848.0,,,,
2020-04-29,33.0,AN,15.0,2848.0,,,,
2020-04-30,33.0,AN,16.0,2848.0,,,,
2020-05-01,33.0,AN,16.0,3754.0,,,,
2020-05-02,33.0,AN,26.0,3754.0,,,,
2020-05-03,33.0,AN,32.0,3754.0,,,,
2020-05-04,33.0,AN,32.0,3754.0,,,,
2020-05-05,33.0,AN,32.0,3754.0,,,,
2020-05-06,33.0,AN,32.0,3754.0,,,,
2020-05-07,33.0,AN,33.0,3754.0,,,,
2020-05-08,33.0,AN,33.0,3754.0,,,,
2020-05-09,33.0,AN,33.0,3754.0,,,,
2020-05-10,33.0,AN,33.0,3754.0,,,,
2020-05-11,33.0,AN,33.0,3754.0,,,,
2020-05-12,33.0,AN,33.0,3754.0,,,,
2020-05-13,33.0,AN,33.0,3754.0,,,,
2020-05-14,33.0,AN,33.0,3754.0,,,,
2020-05-15,33.0,AN,33.0,3754.0,,,,
2020-05-16,33.0,AN,33.0,6677.0,,,,
2020-05-17,33.0,AN,33.0,6677.0,,,,
2020-05-18,33.0,AN,33.0,6677.0,,,,
2020-05-19,33.0,AN,33.0,6965.0,,,,
2020-05-20,33.0,AN,33.0,7082.0,,,,
2020-05-21,33.0,AN,33.0,7167.0,,,,
2020-05-22,33.0,AN,33.0,7263.0,,,,
2020-05-23,33.0,AN,33.0,7327.0,,,,
2020-05-24,33.0,AN,33.0,7327.0,,,,
2020-05-25,33.0,AN,33.0,7363.0,,,,
2020-05-26,33.0,AN,33.0,7448.0,,,,
2020-05-27,33.0,AN,33.0,7499.0,,,,
2020-05-28,33.0,AN,33.0,7519.0,,,,
2020-05-29,33.0,AN,33.0,7567.0,,,,
2020-05-30,33.0,AN,33.0,7567.0,,,,
2020-05-31,33.0,AN,33.0,7706.0,,,,
2020-06-01,33.0,AN,33.0,7805.0,,,,
2020-06-02,33.0,AN,33.0,8086.0,,,,
2020-06-03,33.0,AN,33.0,8295.0,,,,
2020-06-04,33.0,AN,33.0,8413.0,,,,
2020-06-05,33.0,AN,33.0,8694.0,,,,
2020-06-06,33.0,AN,33.0,9037.0,,,,
2020-06-07,33.0,AN,33.0,9242.0,,,,
2020-06-08,33.0,AN,33.0,9341.0,,,,
2020-06-09,34.0,AN,33.0,9859.0,,,,
2020-06-10,35.0,AN,33.0,10010.0,,,,
2020-06-11,38.0,AN,33.0,10226.0,,,,
2020-06-12,38.0,AN,33.0,10697.0,,,,
2020-06-13,38.0,AN,33.0,10955.0,,,,
2020-06-14,40.0,AN,33.0,11356.0,,,,
2020-06-15,41.0,AN,33.0,11518.0,,,,
2020-06-16,44.0,AN,33.0,11809.0,,,,
2020-06-17,44.0,AN,33.0,12239.0,,,,
2020-06-18,45.0,AN,35.0,12622.0,,,,
2020-06-19,47.0,AN,35.0,12930.0,,,,
2020-06-20,47.0,AN,35.0,13320.0,,,,
2020-06-21,48.0,AN,37.0,13434.0,,,,
2020-06-22,48.0,AN,37.0,13511.0,,,,
2020-06-23,50.0,AN,40.0,13723.0,,,,
2020-06-24,56.0,AN,41.0,13994.0,,,,
2020-06-25,58.0,AN,41.0,14277.0,,,,
2020-06-26,72.0,AN,43.0,14583.0,,,,
2020-06-27,72.0,AN,43.0,14851.0,,,,
2020-06-28,83.0,AN,45.0,15094.0,,,,
2020-06-29,90.0,AN,45.0,15410.0,,,,
2020-06-30,97.0,AN,45.0,15709.0,,,,
2020-07-01,100.0,AN,50.0,15982.0,,,,
2020-07-02,109.0,AN,51.0,16278.0,,,,
2020-07-03,116.0,AN,54.0,16626.0,,,,
2020-07-04,119.0,AN,66.0,16832.0,,,,
2020-07-05,125.0,AN,72.0,16909.0,,,,
2020-07-06,141.0,AN,74.0,17095.0,,,,
2020-07-07,147.0,AN,74.0,17381.0,,,,
2020-07-08,149.0,AN,74.0,17643.0,,,,
2020-07-09,156.0,AN,83.0,17852.0,,,,
2020-07-10,156.0,AN,92.0,18046.0,,,,
2020-07-11,156.0,AN,92.0,18315.0,,,,
2020-07-12,163.0,AN,100.0,18447.0,,,,
2020-07-13,166.0,AN,109.0,18609.0,,,,
2020-07-14,171.0,AN,129.0,18884.0,,,,
2020-07-15,176.0,AN,130.0,19061.0,,,,
2020-07-16,180.0,AN,133.0,19227.0,,,,
2020-07-17,184.0,AN,142.0,19421.0,,,,
2020-07-18,188.0,AN,145.0,19671.0,,,,
2020-07-19,203.0,AN,145.0,19904.0,1.0,,,
2020-07-20,207.0,AN,151.0,20301.0,1.0,,,
2020-07-21,212.0,AN,159.0,20642.0,1.0,,,
2020-07-22,221.0,AN,163.0,21043.0,1.0,,,
2020-07-23,240.0,AN,170.0,21310.0,1.0,,,
2020-07-24,259.0,AN,174.0,21743.0,1.0,,,
2020-07-25,290.0,AN,176.0,21965.0,1.0,,,
2020-07-26,318.0,AN,180.0,22049.0,1.0,,,
2020-07-27,338.0,AN,192.0,22548.0,1.0,1.0,,
2020-07-28,363.0,AN,196.0,22925.0,1.0,1.0,,
2020-07-29,428.0,AN,201.0,23217.0,1.0,2.0,,
2020-07-30,470.0,AN,201.0,23615.0,1.0,3.0,,
2020-07-31,548.0,AN,214.0,24038.0,1.0,5.0,,
2020-08-01,636.0,AN,226.0,24308.0,1.0,7.0,,
2020-08-02,734.0,AN,242.0,24580.0,1.0,8.0,,
2020-08-03,830.0,AN,263.0,25034.0,,10.0,,
2020-08-04,928.0,AN,277.0,25492.0,,12.0,,
2020-08-05,1027.0,AN,326.0,25826.0,,14.0,,
2020-08-06,1123.0,AN,355.0,26516.0,,16.0,,
2020-08-07,1222.0,AN,425.0,26915.0,,19.0,,
